filename,tool,cutting_depth_ap,tool_diameter_d,diameter_ae,feed_vel_f,revol_N,num_of_inserts_z,feet_per_insert_fz,cut_vel_vc,Power,Energy,time,distance
Trace_080807_103543R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1194.39089271592,11475.7076972146,9.608,0.151966533333333
Trace_080807_103603R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1193.73505094693,11469.4063694981,9.608,0.151966533333333
Trace_080807_103622R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1190.35522655567,11436.9330167469,9.608,0.151966533333333
Trace_080807_103642R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.87784665973,11451.5623507067,9.608,0.151966533333333
Trace_080807_103702R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1188.10300145682,11415.2936379971,9.608,0.151966533333333
Trace_080807_103722R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1184.4877508845,11380.5583104982,9.608,0.151966533333333
Trace_080807_103741R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1163.84510010406,11182.2237217998,9.608,0.151966533333333
Trace_080807_103823R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1178.22862949011,11320.420672141,9.608,0.151966533333333
Trace_080807_103842R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1199.87269404787,11528.3768444119,9.608,0.151966533333333
Trace_080807_103902R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1196.34226632674,11494.4564948673,9.608,0.151966533333333
Trace_080807_103922R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1195.76932747138,11488.9516983451,9.608,0.151966533333333
Trace_080807_103941R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.28899706556,11503.5526838059,9.608,0.151966533333333
Trace_080807_104000R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.91801313215,11451.9482701737,9.608,0.151966533333333
Trace_080807_104020R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1192.03096539022,11453.0335154692,9.608,0.151966533333333
Trace_080807_104039R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1188.27602894901,11416.9560861421,9.608,0.151966533333333
Trace_080807_104059R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1183.24032039542,11368.5729983592,9.608,0.151966533333333
Trace_080807_104118R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1166.04172168574,11203.3288619566,9.608,0.151966533333333
Trace_080807_104354R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1182.96803533819,11365.9568835293,9.608,0.151966533333333
Trace_080807_104413R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1200.18948039542,11531.4205276392,9.608,0.151966533333333
Trace_080807_104433R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.22182318418,11502.9072771536,9.608,0.151966533333333
Trace_080807_104452R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.90988745057,11509.5181986251,9.608,0.151966533333333
Trace_080807_104512R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.63941271592,11506.9194773746,9.608,0.151966533333333
Trace_080807_104531R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1194.86114578564,11480.2258887084,9.608,0.151966533333333
Trace_080807_104550R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1196.73255502601,11498.2063886899,9.608,0.151966533333333
